name,gender
ambiya,female
sanjay,female
rayish,male
munender,male
khalidur,male
mubshshira,female
ajay,male
arif,male
ketan,male
sajia,female
guddiya@guddi,female
klu,female
ranvir,male
sushama,female
arshad,male
amol,male
ankus,male
amuchla,male
insaf,male
shishul,male
anuraj,male
nayaka,female
rachna(with,female
mathura,male
fareena,female
rajbiri,female
anjaly,female
sispal,male
halkuji,male
shoab,male
raju,female
dilip,male
anmol,male
njare,male
jitin,male
pallawi,female
aansu,male
naruram,male
chhidu,male
mamchand,male
ranu,female
rinku,female
sharinimle,female
hadarali,male
momena,female
dana,male
jhagdoo,male
sunena,female
ku-pooja,female
shahwaj,male
farhanaaz,female
sabiya,female
gajla,female
sushpal,male
ilesh,male
radha,female
durga,female
akram,female
swapam,male
gudya,female
tauseek,male
sushant,male
sakina,female
madho,male
aasmin,female
sohil,male
ramprasad,male
kashish,female
fazin,female
harish,male
nihalchand,male
rubee,female
hemanti,female
long,female
sahdab,male
kushmita,female
surja,male
siya,female
jaga,male
kanta,male
prabhatyashi,male
pramila,female
sneh,female
rahil,female
avdhesh,male
baggusingh,male
prkesh,male
dimpy,male
senser,male
rajo,female
dibakar,male
chandki,male
shkur,male
pujja,male
sham,male
vikaram,male
noomi,female
jenifer,female
sahima,female
bachcha,male
riti,female
shelendra,male
sanand,male
kelashi,female
rashma,female
muntiyaj,male
doulat,male
shahnwaj,male
hardam,male
saksi,female
jalmi,male
jameer,male
baldev,male
sahin,female
tasleem,female
isika,female
????,female
aneeta,female
smt.khasti,female
ranjan,male
faiz,male
kamaljeet,male
anandwati,female
chuni,female
moka,female
aashma,female
prabhjit,male
sanjna,female
shreemati,female
arvinder,female
aagand,male
mercy,female
avantika,female
sushhmita,female
jasoda,female
mandira,female
menakshi,female
damanjeet,male
mohd,male
vishvnath,male
partibha,female
harsha,female
bhola,male
ruzina,female
b,male
????,female
mangla,female
gahnshyam,male
deepak,female
mitthun,male
naziya,female
deepti,female
harwindra,male
hisham,male
manku,male
nuraish,female
khemraj,male
lokesh,female
pamjeet,female
supriyal,male
warish,male
rudra,male
